bairro,ais
Carlito Pamplona,5
Centro,5
Ellery,5
Farias Brito,5
Jacarecanga,5
Monte Castelo,5
Moura Brasil,5
São Gerardo,5
Vila Ellery,5
Álvaro Weyne,5
Aeroporto,6
Benfica,6
Bom Futuro,6
Couto Fernandes,6
Damas,6
Demócrito Rocha,6
Dendê,6
Fátima,6
Itaoca,6
Itaperi,6
Jardim América,6
José Bonifácio,6
Montese,6
Panamericano,6
Parangaba,6
Parreão,6
Rachel de Queiroz,6
Serrinha,6
Vila Peri,6
Vila União,6
Aldeota,8
Cais do Porto,8
Meireles,8
Mucuripe,8
Praia de Iracema,8
Varjota,8
Vicente Pinzón,8
Ancuri,16
Barroso,16
Coaçu,16
Conjunto Palmeiras,16
Curió,16
Guajeru,16
Jangurussu,16
Lagoa Redonda,16
Messejana,16
Parque Santa Maria,16
Paupina,16
Pedras,16
São Bento,16
Bom Jardim,17
Conjunto Ceará I,17
Conjunto Ceará II,17
Genibaú,17
Granja Lisboa,17
Granja Portugal,17
Siqueira,17
Amadeu Furtado,18
Antônio Bezerra,18
Autran Nunes,18
Bela Vista,18
Bonsucesso,18
Dom Lustosa,18
Henrique Jorge,18
João XXIII,18
Jóquei Clube,18
Olavo Oliveira,18
Padre Andrade,18
Parque Araxá,18
Parquelândia,18
Pici,18
Presidente Kennedy,18
Quintino Cunha,18
Rodolfo Teófilo,18
Aerolândia,19
Alto da Balança,19
Boa Vista / Castelão,19
Cajazeiras,19
Cambeba,19
Cidade dos Funcionários,19
Dias Macedo,19
Edson Queiroz,19
Jardim das Oliveiras,19
José de Alencar,19
Parque Dois Irmãos,19
Parque Iracema,19
Parque Manibura,19
Passaré,19
Sabiaguaba,19
Sapiranga / Coité,19
Barra do Ceará,20
Cristo Redentor,20
Floresta,20
Jardim Guanabara,20
Jardim Iracema,20
Pirambu,20
Vila Velha,20
Aracapé,21
Canindezinho,21
Conjunto Esperança,21
Jardim Cearense,21
Manoel Sátiro,21
Maraponga,21
Mondubim,21
Novo Mondubim,21
Parque Presidente Vargas,21
Parque Santa Rosa,21
Parque São José,21
Planalto Ayrton Senna,21
Prefeito José Walter,21
Cidade 2000,22
Cocó,22
De Lourdes,22
Dionísio Torres,22
Engenheiro Luciano Cavalcante,22
Guararapes,22
Joaquim Távora,22
Manuel Dias Branco,22
Papicu,22
Praia do Futuro I,22
Praia do Futuro II,22
Salinas,22
São João do Tauape,22
