bairro,faccao,tipo_evidencia,fonte,ano_referencia,link,ais
Granja Lisboa,CV,noticia,Polícia Civil do Ceará — prisão de chefe na AIS 17,2023,https://www.policiacivil.ce.gov.br/2023/05/25/operacao-da-policia-civil-resulta-na-prisao-de-chefe-de-grupo-criminoso-em-fortaleza/,17
Granja Lisboa,CV,noticia,O Povo — chefe de facção e empresa de internet (Bonsucesso/João XXIII/Granja Portugal),2025,https://mais.opovo.com.br/jornal/cidades/2025/04/25/apontado-como-chefe-de-faccao-seria-socio-de-empresa-de-internet.html,17
Conjunto Ceará I,CV,noticia,Diário do Nordeste — 13 integrantes do CV presos (AIS 17),2024,https://diariodonordeste.verdesmares.com.br/seguranca/treze-integrantes-da-faccao-comando-vermelho-sao-presos-em-fortaleza-1.3757449,17
Conjunto Ceará II,CV,noticia,O Povo — operação CV na AIS 17,2026,https://www.opovo.com.br/noticias/fortaleza/2026/04/15/fortaleza-operacao-prende-11-membros-do-cv-por-trafico-de-drogas.html,17
Genibaú,CV,noticia,Diário do Nordeste — operação CV na AIS 17,2024,https://diariodonordeste.verdesmares.com.br/seguranca/treze-integrantes-da-faccao-comando-vermelho-sao-presos-em-fortaleza-1.3757449,17
Granja Portugal,CV,noticia,O Povo — região Bonsucesso/João XXIII/Granja Portugal,2025,https://mais.opovo.com.br/jornal/cidades/2025/04/25/apontado-como-chefe-de-faccao-seria-socio-de-empresa-de-internet.html,17
Bom Jardim,CV,noticia,O Povo — festa do CV no Alto da Paz (Bom Jardim),2025,https://mais.opovo.com.br/jornal/cidades/2025/09/01/cv-muito-em-breve-assumira-o-controle-total-de-fortaleza-diz-relatorio.html,17
Siqueira,CV,noticia,O Povo — avanço do CV sobre áreas do TCP,2025,https://mais.opovo.com.br/colunistas/lucas-barbosa/2025/12/30/o-que-esperar-da-iminente-hegemonia-do-cv-na-guerra-de-faccoes-de-fortaleza.html,17
Jangurussu,TCP,noticia,O Povo — TCP expulsa famílias no Jangurussu,2025,https://www.opovo.com.br/noticias/fortaleza/2025/10/22/familias-que-vieram-de-area-do-cv-teriam-sido-expulsas-de-residencial-pelo-tcp.html,16
Jangurussu,CV/TCP,noticia,Folha — conjunto José Euclides tomado por facções,2026,https://www1.folha.uol.com.br/cotidiano/2026/01/faccoes-criminosas-avancam-no-ceara-expulsam-familias-e-impoem-terror-na-periferia.shtml,16
Conjunto Palmeiras,CV/TCP,noticia,O Povo — homicídios e disputa TCP em fevereiro,2025,https://www.opovo.com.br/noticias/ceara/2025/10/07/saiba-mais-sobre-o-tcp-faccao-que-expandiu-sua-atuacao-no-ce-em-setembro.html,16
Messejana,CV,noticia,G1 — Operação Kleptonomos na Grande Messejana,2025,https://g1.globo.com/ce/ceara/noticia/2025/07/29/operacao-prende-14-pms-suspeitos-de-receberem-propina-para-facilitar-o-trafico-de-drogas-em-fortaleza.ghtml,16
Messejana,CV,noticia,G1 — operação contra CV menciona Messejana,2025,https://g1.globo.com/ce/ceara/noticia/2025/09/05/operacao-prende-38-membros-do-comando-vermelho-no-ceara-chefe-da-faccao-havia-sido-solto-ha-dois-dias.ghtml,16
Paupina,CV,noticia,G1 — operação CV em bairros do extremo sul,2025,https://g1.globo.com/ce/ceara/noticia/2025/09/05/operacao-prende-38-membros-do-comando-vermelho-no-ceara-chefe-da-faccao-havia-sido-solto-ha-dois-dias.ghtml,16
Barra do Ceará,CV/TCP,noticia,Folha — homicídios e disputa de facções na Barra do Ceará,2026,https://www1.folha.uol.com.br/cotidiano/2026/01/faccoes-criminosas-avancam-no-ceara-expulsam-familias-e-impoem-terror-na-periferia.shtml,20
Barra do Ceará,TCP,noticia,O Povo — ataque CV na Colônia (Barra do Ceará),2025,https://www.opovo.com.br/noticias/ceara/2025/10/07/saiba-mais-sobre-o-tcp-faccao-que-expandiu-sua-atuacao-no-ce-em-setembro.html,20
Cristo Redentor,TCP,noticia,O Povo — comunidades da Barra do Ceará e Cristo Redentor,2025,https://www.opovo.com.br/noticias/ceara/2025/10/07/saiba-mais-sobre-o-tcp-faccao-que-expandiu-sua-atuacao-no-ce-em-setembro.html,20
Pirambu,CV,noticia,G1 — operação CV no Pirambu,2025,https://g1.globo.com/ce/ceara/noticia/2025/09/05/operacao-prende-38-membros-do-comando-vermelho-no-ceara-chefe-da-faccao-havia-sido-ha-dois-dias.ghtml,20
Mondubim,TCP,noticia,O Povo — pichações TCP no Guaxinim (Mondubim),2025,https://www.opovo.com.br/noticias/ceara/2025/10/07/saiba-mais-sobre-o-tcp-faccao-que-expandiu-sua-atuacao-no-ce-em-setembro.html,21
Mondubim,TCP,noticia,O Povo — expulsão de moradores no Grande Mondubim,2025,https://www.opovo.com.br/noticias/fortaleza/2025/12/15/quatro-suspeitos-de-expulsar-moradores-no-grande-mondubim-sao-presos.html,21
Parque Santa Rosa,CV,noticia,O Povo — avanço do CV sobre áreas do TCP,2025,https://mais.opovo.com.br/colunistas/lucas-barbosa/2025/12/30/o-que-esperar-da-iminente-hegemonia-do-cv-na-guerra-de-faccoes-de-fortaleza.html,21
Canindezinho,GDE/CV,noticia,O Povo — mapeamento Annulare (54 bairros com biqueiras CV),2021,https://mais.opovo.com.br/jornal/reportagem/2021/12/19/faccao-tem-presenca-em-pelo-menos-49-municipios-cearenses-aponta-policia-civil.html,21
Parque São José,GDE/CV,noticia,O Povo — mapeamento Annulare,2021,https://mais.opovo.com.br/jornal/reportagem/2021/12/19/faccao-tem-presenca-em-pelo-menos-49-municipios-cearenses-aponta-policia-civil.html,21
Planalto Ayrton Senna,GDE,relatorio,IPECE — baixo IDH (referência Censo 2010),2010,https://dados.fortaleza.ce.gov.br/dataset/desenvolvimento_humano_bairro,21
Parque Presidente Vargas,GDE,relatorio,IPECE/SDE — um dos piores IDH de Fortaleza,2010,https://dados.fortaleza.ce.gov.br/dataset/desenvolvimento_humano_bairro,21
Prefeito José Walter,GDE/CV,noticia,O Povo — mapeamento Annulare,2021,https://mais.opovo.com.br/jornal/reportagem/2021/12/19/faccao-tem-presenca-em-pelo-menos-49-municipios-cearenses-aponta-policia-civil.html,21
Jardim das Oliveiras,CV,noticia,O Povo — avanço do CV (Jardim das Oliveiras),2025,https://mais.opovo.com.br/colunistas/lucas-barbosa/2025/12/30/o-que-esperar-da-iminente-hegemonia-do-cv-na-guerra-de-faccoes-de-fortaleza.html,19
Passaré,CV,noticia,O Povo — mapeamento Annulare,2021,https://mais.opovo.com.br/jornal/reportagem/2021/12/19/faccao-tem-presenca-em-pelo-menos-49-municipios-cearenses-aponta-policia-civil.html,19
Cambeba,CV,noticia,O Povo — mapeamento Annulare,2021,https://mais.opovo.com.br/jornal/reportagem/2021/12/19/faccao-tem-presenca-em-pelo-menos-49-municipios-cearenses-aponta-policia-civil.html,19
Vila União,CV/GDE,noticia,O Povo — disputa CV x GDE no Vila União,2025,https://www.opovo.com.br/noticias/ceara/2025/04/22/disputa-por-trafico-no-vila-uniao-lider-e-integrantes-do-cv-e-gde-sao-presos.html,6
Parangaba,GDE,noticia,O Povo — mapeamento Annulare,2021,https://mais.opovo.com.br/jornal/reportagem/2021/12/19/faccao-tem-presenca-em-pelo-menos-49-municipios-cearenses-aponta-policia-civil.html,6
Bonsucesso,CV,noticia,O Povo — chefia CV na região Bonsucesso/João XXIII,2025,https://mais.opovo.com.br/jornal/cidades/2025/04/25/apontado-como-chefe-de-faccao-seria-socio-de-empresa-de-internet.html,18
João XXIII,CV,noticia,O Povo — chefia CV na região Bonsucesso/João XXIII,2025,https://mais.opovo.com.br/jornal/cidades/2025/04/25/apontado-como-chefe-de-faccao-seria-socio-de-empresa-de-internet.html,18
Pici,CV/TCP,noticia,O Povo — famílias vindas do Planalto Pici (domínio CV),2025,https://www.opovo.com.br/noticias/fortaleza/2025/10/22/familias-que-vieram-de-area-do-cv-teriam-sido-expulsas-de-residencial-pelo-tcp.html,18
Praia do Futuro II,CV,noticia,O Povo — CV expulsa GDE e PCC da Praia do Futuro II,2025,https://mais.opovo.com.br/jornal/cidades/2025/09/01/cv-muito-em-breve-assumira-o-controle-total-de-fortaleza-diz-relatorio.html,22
São João do Tauape,CV/TCP,noticia,O Povo — chacina no Lagamar (São João do Tauape),2025,https://www.opovo.com.br/noticias/ceara/2025/10/07/saiba-mais-sobre-o-tcp-faccao-que-expandiu-sua-atuacao-no-ce-em-setembro.html,22
Vicente Pinzón,CV,noticia,O Povo — disputa CV no Lagamar/Vicente Pinzón,2025,https://www.opovo.com.br/noticias/ceara/2025/09/16/cv-x-gde-saiba-como-o-comando-vermelho-tenta-dominar-o-ceara.html,8
Maraponga,GDE/CV,noticia,O Povo — mapeamento Annulare,2021,https://mais.opovo.com.br/jornal/reportagem/2021/12/19/faccao-tem-presenca-em-pelo-menos-49-municipios-cearenses-aponta-policia-civil.html,21
Sapiranga / Coité,CV,noticia,O Povo — ataques a provedoras de internet,2025,https://mais.opovo.com.br/jornal/cidades/2025/04/25/apontado-como-chefe-de-faccao-seria-socio-de-empresa-de-internet.html,19
