bairro,renda_media_responsavel_2022,ranking_renda,fonte,link
Aerolândia,1606.55,101,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Aeroporto,1560.2,106,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Aldeota,10572.06,5,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Alto da Balança,1739.54,91,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Álvaro Weyne,2176.09,65,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Amadeu Furtado,3660.3,30,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Ancuri,1404.11,116,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Antônio Bezerra,2165.14,67,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Aracapé,1668.0,93,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Autran Nunes,1428.04,113,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Barra do Ceará,1606.63,100,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Barroso,1567.15,104,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Bela Vista,2163.64,68,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Benfica,5693.63,16,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Boa Vista / Castelão,2388.03,56,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Bom Futuro,3414.66,35,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Bom Jardim,1342.03,120,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Bonsucesso,1643.32,96,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Cais do Porto,1440.15,112,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Cajazeiras,2759.79,51,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Cambeba,7488.94,10,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Canindezinho,1343.37,119,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Carlito Pamplona,1822.87,85,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Centro,4192.28,26,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Cidade 2000,3382.89,36,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Cidade dos Funcionários,4774.82,21,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Coaçu,2068.26,72,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Cocó,13372.43,2,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Conjunto Ceará I,2505.8,55,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Conjunto Ceará II,2194.22,62,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Conjunto Esperança,1794.34,87,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Conjunto Palmeiras,1357.92,118,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Couto Fernandes,1964.89,76,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Cristo Redentor,1647.41,94,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Curió,2103.38,71,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Damas,4249.97,24,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
De Lourdes,12383.27,3,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Demócrito Rocha,2174.53,66,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Dendê (Rachel de Queiroz),3107.82,40,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Dias Macedo,1647.12,95,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Dionísio Torres,10489.85,6,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Dom Lustosa,2016.42,74,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Edson Queiroz,3868.77,29,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Ellery,2695.79,52,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Engenheiro Luciano Cavalcante,7003.12,12,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Farias Brito,2962.88,45,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Fátima,7408.88,11,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Floresta,1507.12,109,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Genibaú,1272.25,121,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Granja Lisboa,1404.64,115,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Granja Portugal,1475.71,110,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Guajeru,2259.41,58,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Guararapes,14775.21,1,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Henrique Jorge,2245.68,59,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Itaoca,2186.75,63,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Itaperi,2989.39,43,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
